Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_243.jpg;-15;1;0;1.998916;101.5057;88.72813;0.5019888;46.87577;359.3348
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_292.jpg;-15;1;0;2.039543;101.5651;88.78204;0.4453912;45.69109;359.2438
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_342.jpg;15;1;0;2.066495;101.6538;88.86469;0.3274051;44.45546;359.2155
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_393.jpg;15;1;0;2.072891;101.7071;88.92622;0.2343859;45.2383;359.3952
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_442.jpg;15;1;0;2.096678;101.7866;89.02283;0.1610578;46.9533;359.7314
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_491.jpg;15;1;0;2.134775;101.8393;89.09009;0.162551;48.18135;359.9905
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_543.jpg;15;1;0;2.160093;101.9175;89.19527;0.2354266;50.07067;0.4242848
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_591.jpg;-15;1;0;2.172738;101.9768;89.25925;0.2582289;49.79911;0.4698692
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_642.jpg;-15;1;0;2.19395;102.0717;89.35249;0.3209563;48.16476;0.3955421
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_697.jpg;-15;1;0;2.232636;102.1719;89.44517;0.4446628;46.24041;0.2332428
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_741.jpg;-15;1;0;2.258962;102.2417;89.50643;0.5599759;44.91642;0.08010519
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_792.jpg;-15;1;0;2.29846;102.3135;89.56709;0.6817397;43.58178;359.9083
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_841.jpg;-15;1;0;2.325165;102.4243;89.6565;0.8416232;41.57766;359.6462
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_891.jpg;-15;1;0;2.360759;102.4999;89.71479;0.9123534;40.23302;359.4861
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_942.jpg;-15;1;0;2.380758;102.6139;89.79916;0.8675078;38.18642;359.334
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_992.jpg;15;1;0;2.400496;102.6876;89.85616;0.7277885;37.42199;359.3619
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_042.jpg;15;1;0;2.426598;102.7916;89.95165;0.4729495;38.6193;359.6982
